R,acquisition_norm_mean,calm_acquired,calm_acquisition_time_s,calm_orientation_rmse,calm_position_rmse,candidate_id,candidate_usable,competence_pass,control_rate_ratio_mean,controller,crosswind_acquired,crosswind_acquisition_time_s,crosswind_orientation_rmse,crosswind_position_rmse,dare_residual_norm,index,orientation_ratio_mean,position_ratio_mean,safe,score,spectral_radius,w_p,w_theta
1.0,0.8618181818181818,True,2.46,0.7116242219568785,0.10420566589928353,lqr_014,True,True,1.953442797545613,task_lqr,False,,1.0170366054106708,0.20586881454452982,2.9503743874471844e-10,14,0.5299773711259901,0.950411907599376,True,1.3960329357126997,0.9745683888641785,80.0,20.0
2.0,0.8711363636363636,True,2.665,0.5396906030173231,0.10828308911669146,lqr_015,False,False,0.8135239418921958,task_lqr,False,,0.9141799413840828,0.2217622269909073,2.5487786584720444e-10,15,0.44255792160862706,1.0080621917986934,True,,0.9745694764594486,80.0,20.0
0.5,0.8622727272727273,True,2.47,0.6976056487536095,0.10435062374354549,lqr_016,True,True,2.8479267037265092,task_lqr,False,,1.0080735298201957,0.20312974490665706,4.4719529108925565e-10,16,0.5226856541738875,0.9438357780110601,True,1.4324717085590393,0.9745678489929028,80.0,80.0
1.0,0.8640909090909091,True,2.5100000000000002,0.657326404370014,0.10497002907101519,lqr_017,False,False,1.7252347142037512,task_lqr,False,,0.9725678848787441,0.21362506172429074,4.5159417414422683e-10,17,0.4989612904723292,0.9736895392883846,True,,0.9745683936131581,80.0,80.0
2.0,0.8720454545454546,True,2.685,0.5169580482289051,0.10874912131542937,lqr_018,False,False,0.826816851091855,task_lqr,False,,0.8949005657764458,0.22758561672243963,1.3732524213777791e-09,18,0.4293843699798663,1.025111615064393,True,,0.9745694806394576,80.0,80.0
0.5,1.5,False,,21.021820572728352,0.9894389635725,lqr_019,False,False,8.351351164991955,task_lqr,False,,15.666355478851099,0.8086176255890273,7.149222817254435e-10,19,11.567327783756875,6.032163899011124,True,,0.9745670026071442,320.0,5.0
1.0,1.5,False,,16.577304013089485,0.6506583815506574,lqr_020,False,False,10.14845439830961,task_lqr,False,,8.23115859301377,0.3665059476894301,2.724644131012611e-10,20,7.94927533137376,3.535386653632284,True,,0.9745671453276251,320.0,5.0
2.0,1.5,False,,6.3696447083177095,0.16907094133478284,lqr_021,False,False,12.315776484830932,task_lqr,False,,1.3548010703718947,0.1912504854972147,1.0886793026486189e-09,21,2.540300536939681,1.1693132931998524,True,,0.9745674306163545,320.0,5.0
0.5,1.5,False,,20.914117268557245,0.9422565992684943,lqr_022,False,False,8.353603358680871,task_lqr,False,,14.438781983840354,0.7345186488996784,4.160671834791079e-10,22,11.18180420187921,5.65173563459256,True,,0.9745670029649972,320.0,20.0
1.0,1.5,False,,15.247096443632417,0.5838358442681045,lqr_023,False,False,10.35248879381998,task_lqr,False,,8.165993172441462,0.36341609830539406,7.438643745163986e-10,23,7.480696278359951,3.2624996558591386,True,,0.9745671456805755,320.0,20.0
2.0,1.5,False,,4.370170946789276,0.12611024944727697,lqr_024,False,False,10.557195890148272,task_lqr,False,,1.215451705375852,0.1911529551974129,1.3013572408875336e-09,24,1.8241935731038208,0.9988035724569981,True,,0.9745674309595094,320.0,20.0
0.5,1.5,False,,19.70462880282224,0.8283918053801161,lqr_025,False,False,9.185247942024567,task_lqr,False,,12.68117461261749,0.5717689029650672,7.356275720414747e-10,25,10.27278913361762,4.775610641132362,True,,0.9745670043961702,320.0,80.0
1.0,1.5,False,,13.8888072447879,0.48334414657551383,lqr_026,False,False,10.616047658534518,task_lqr,False,,7.675082337767741,0.34104299402796734,1.1466956742987436e-09,26,6.881547397132031,2.805839511187537,True,,0.9745671470921372,320.0,80.0
2.0,1.5,False,,3.458984052829072,0.11302415826028994,lqr_027,False,False,9.310113122371044,task_lqr,False,,1.1176546712281854,0.1941612476306525,5.82124284806458e-10,27,1.4881019950175676,0.9547962542238605,True,,0.9745674323318874,320.0,80.0
