candidate_id,controller,index,kp,kd,ki,safe,candidate_usable,position_ratio_mean,orientation_ratio_mean,acquisition_norm_mean,control_rate_ratio_mean,score,competence_pass,approach_position_rmse,crosswind_position_rmse,approach_orientation_rmse,crosswind_orientation_rmse,spectral_radius
pid_024,task_pid,24,3.2,2.0,0.3,True,False,11.569730711151152,6.543771165963292,1.5,65.47993681557352,,False,2.4036009945952643,2.268968683233983,13.820399363086334,11.752893231543514,
pid_025,task_pid,25,3.2,4.0,0.0,True,False,10.190224712156091,6.777008853438046,1.5,109.87903695343346,,False,1.7050030395244387,2.2002474828429763,14.799398176266896,12.062641204133374,
pid_026,task_pid,26,3.2,4.0,0.1,True,False,10.108093781352768,6.781733397186309,1.5,109.35644100452062,,False,1.7050032341269206,2.175782541108197,14.799398200100347,12.073365958703878,
pid_027,task_pid,27,3.2,4.0,0.3,True,False,9.945242324918446,6.791643048385769,1.5,109.9478342948898,,False,1.7050036233328736,2.1272727837170913,14.799398247767297,12.0958609518968,
pid_028,task_pid,28,6.4,1.0,0.0,True,False,18.08624152319359,6.238935030625401,1.5,78.722498978717,,False,4.7735692179772,3.0491782735189794,13.8551389085826,11.053116122084512,
pid_029,task_pid,29,6.4,1.0,0.1,True,False,17.976949708191466,6.247428082979941,1.5,79.12555879750636,,False,4.773292033845281,3.0167586228675005,13.855195862040071,11.072382651605427,
pid_030,task_pid,30,6.4,1.0,0.3,True,False,17.8841215709573,6.235467014203303,1.5,78.3066981024079,,False,4.772737917584626,2.9893787616015244,13.855310012947136,11.045205292623764,
pid_031,task_pid,31,6.4,2.0,0.0,True,False,16.59802501706298,6.439434331587169,1.5,78.21278216457999,,False,3.7908160588203934,3.087265198170458,13.506302360232757,11.586536270168656,
pid_032,task_pid,32,6.4,2.0,0.1,True,False,16.481915724601507,6.448396794082583,1.5,78.31601341658312,,False,3.786835918255865,3.054628637184914,13.505627008432358,11.607032706880108,
pid_033,task_pid,33,6.4,2.0,0.3,True,False,16.335325869334703,6.455743696719215,1.5,77.64581232524344,,False,3.781093598111261,3.0137758280072053,13.504890358862786,11.623875563367832,
pid_034,task_pid,34,6.4,4.0,0.0,True,False,13.536373352578876,6.6052607253734035,1.5,80.29842535129069,,False,2.5120310464527864,2.801671340858271,12.8601453137386,12.10797231381822,
pid_035,task_pid,35,6.4,4.0,0.1,True,False,13.45843880168881,6.611372447455611,1.5,80.46985953078999,,False,2.51136699957686,2.7787817722624197,12.859730336188246,12.121939109901776,
pid_036,task_pid,36,6.4,4.0,0.3,True,False,13.328003458057196,6.621290851510786,1.5,80.61675563985573,,False,2.510153889889319,2.7405224216048025,12.859008099541763,12.144616064931974,
