acquisition_improvement_vs_lqi,calm_acquired,calm_acquisition_time_s,calm_orientation_rmse,calm_position_rmse,candidate_id,controller,crosswind_acquired,crosswind_acquisition_time_s,crosswind_orientation_rmse,crosswind_position_rmse,dare_residual_norm,horizon_steps,mpc_contribution_pass,no_more_than_10_percent_degradation,position_improvement_vs_lqi,q_eta,residual_weight,safe,score,spectral_radius,usable,usable_with_mpc
,True,3.295,0.9472400237170989,0.10607310626390626,its_012,ITS-RMPC,False,,1.240220719086846,0.18403972099091453,2.945075765111306e-10,20,False,False,,1.0,16.0,True,,0.9945525034917749,False,False
,False,,7.4944998948244805,28.555652577811017,its_013,ITS-RMPC,False,,6.077554432527762,12.804673836202792,2.945075765111306e-10,40,False,False,,1.0,0.25,True,,0.9945525034917749,False,False
,False,,0.0,0.28726091182547353,its_014,ITS-RMPC,False,,0.4084136897621439,1.6541080323423214,2.945075765111306e-10,40,False,False,,1.0,1.0,True,,0.9945525034917749,False,False
,True,5.16,1.2331747847309418,0.10819512481284843,its_015,ITS-RMPC,False,,1.511549598934364,0.18706014209459865,2.945075765111306e-10,40,False,False,,1.0,4.0,True,,0.9945525034917749,False,False
,True,3.17,0.9743859454712954,0.10595123545372234,its_016,ITS-RMPC,False,,1.265953378124112,0.1827091319357397,2.945075765111306e-10,40,False,False,,1.0,16.0,True,,0.9945525034917749,False,False
,False,,7.494500254929073,28.55565418757807,its_017,ITS-RMPC,False,,6.077552642307304,12.804690686413256,3.690736174863055e-10,20,False,False,,10.0,0.25,True,,0.9826733478965066,False,False
,False,,1.5770757718331249e-06,0.28725561264065524,its_018,ITS-RMPC,False,,0.4083971778763452,1.654079716692156,3.690736174863055e-10,20,False,False,,10.0,1.0,True,,0.9826733478965066,False,False
,True,5.1450000000000005,1.440204536375698,0.11584343887330059,its_019,ITS-RMPC,True,7.805,1.7492466045235038,0.1716152221675245,3.690736174863055e-10,20,False,False,,10.0,4.0,True,,0.9826733478965066,False,False
,False,,13.483047933328589,0.49462481225136307,its_020,ITS-RMPC,True,8.0,2.2382642172412606,0.1677941720209378,3.690736174863055e-10,20,False,False,,10.0,16.0,True,,0.9826733478965066,False,False
,False,,7.494500223237356,28.555654248141405,its_021,ITS-RMPC,False,,6.0775523144692265,12.804690436094054,3.690736174863055e-10,40,False,False,,10.0,0.25,True,,0.9826733478965066,False,False
,False,,0.0,0.28726130989156,its_022,ITS-RMPC,False,,0.40841469449713047,1.6541093206571724,3.690736174863055e-10,40,False,False,,10.0,1.0,True,,0.9826733478965066,False,False
,True,5.62,1.8014839328689747,0.11802506435839125,its_023,ITS-RMPC,True,7.845000000000001,2.062074610249348,0.17127151214862243,3.690736174863055e-10,40,False,False,,10.0,4.0,True,,0.9826733478965066,False,False
,True,6.695,2.8990020642529144,0.11929047642841453,its_024,ITS-RMPC,True,7.995000000000001,2.290860346676162,0.16667007612104537,3.690736174863055e-10,40,False,False,,10.0,16.0,True,,0.9826733478965066,False,False
,False,,7.4945001132402815,28.5556531282831,its_025,ITS-RMPC,False,,6.077585463934359,12.804309882113063,4.4151561729393515e-10,20,False,False,,100.0,0.25,True,,0.9745662557894724,False,False
,False,,4.318490011228313e-06,0.2872571704158948,its_026,ITS-RMPC,False,,0.40841575976386996,1.6541108536597005,4.4151561729393515e-10,20,False,False,,100.0,1.0,True,,0.9745662557894724,False,False
,False,,21.02189814158264,1.2011524327506167,its_027,ITS-RMPC,False,,16.73824100154691,0.8698452613248533,4.4151561729393515e-10,20,False,False,,100.0,4.0,True,,0.9745662557894724,False,False
,False,,21.47070426204651,1.2240057210362043,its_028,ITS-RMPC,False,,17.325205468342027,0.8351949378272824,4.4151561729393515e-10,20,False,False,,100.0,16.0,True,,0.9745662557894724,False,False
,False,,7.494499924847713,28.555653884225777,its_029,ITS-RMPC,False,,6.07755248364068,12.804690550851504,4.4151561729393515e-10,40,False,False,,100.0,0.25,True,,0.9745662557894724,False,False
,False,,0.0,0.2872612547332838,its_030,ITS-RMPC,False,,0.40841623134432126,1.6541112767867134,4.4151561729393515e-10,40,False,False,,100.0,1.0,True,,0.9745662557894724,False,False
